date,heating_degree
2042-01-01,568.3821151991376
2042-02-01,394.38711686914326
2042-03-01,298.3270111798268
2042-04-01,128.13707921718907
2042-05-01,39.14366472103472
2042-06-01,1.5551801380363184
2042-07-01,-1.0214142385043722e-18
2042-08-01,0.14811239409869692
2042-09-01,13.795448990668184
2042-10-01,121.0066879609623
2042-11-01,304.81189300209894
2042-12-01,462.5603838604462
2043-01-01,557.9957387385281
2043-02-01,387.1802270514221
2043-03-01,292.87549299733246
2043-04-01,125.7955493130781
2043-05-01,38.4283677682435
2043-06-01,1.5267613462443075
2043-07-01,-1.0027493427909903e-18
2043-08-01,0.14540584249945776
2043-09-01,13.5433560266429
2043-10-01,118.79545619891084
2043-11-01,299.2418724944456
2043-12-01,454.1077254087455
2044-01-01,547.7991200445874
2044-02-01,380.1050410847872
